"selection1_name","selection1_url"
"DHA Defence(3,545)","https://www.zameen.com/Houses_Property/Karachi_DHA_Defence-213-1.html"
"Bahria Town Karachi(3,249)","https://www.zameen.com/Houses_Property/Karachi_Bahria_Town_Karachi-8298-1.html"
"Gadap Town(1,560)","https://www.zameen.com/Houses_Property/Karachi_Gadap_Town-570-1.html"
"Gulshan-e-Iqbal Town(1,184)","https://www.zameen.com/Houses_Property/Karachi_Gulshan_e_Iqbal_Town-6858-1.html"
"Malir(1,161)","https://www.zameen.com/Houses_Property/Karachi_Malir-476-1.html"
"Gulistan-e-Jauhar(1,054)","https://www.zameen.com/Houses_Property/Karachi_Gulistan_e_Jauhar-232-1.html"
"Scheme 33(1,048)","https://www.zameen.com/Houses_Property/Karachi_Scheme_33-495-1.html"
"North Karachi(1,005)","https://www.zameen.com/Houses_Property/Karachi_North_Karachi-282-1.html"
"North Nazimabad(738)","https://www.zameen.com/Houses_Property/Karachi_North_Nazimabad-11-1.html"
"Cantt(711)","https://www.zameen.com/Houses_Property/Karachi_Cantt-525-1.html"
"Federal B Area(525)","https://www.zameen.com/Houses_Property/Karachi_Federal_B._Area-12-1.html"
"Korangi(420)","https://www.zameen.com/Houses_Property/Karachi_Korangi-255-1.html"
"Jamshed Town(398)","https://www.zameen.com/Houses_Property/Karachi_Jamshed_Town-6916-1.html"
"Bin Qasim Town(285)","https://www.zameen.com/Houses_Property/Karachi_Bin_Qasim_Town-677-1.html"
"Navy Housing Scheme Karsaz(216)","https://www.zameen.com/Houses_Property/Karachi_Navy_Housing_Scheme_Karsaz-11579-1.html"
"Naya Nazimabad(194)","https://www.zameen.com/Houses_Property/Karachi_Naya_Nazimabad-10079-1.html"
"New Karachi(174)","https://www.zameen.com/Houses_Property/Karachi_New_Karachi-1304-1.html"
"Orangi Town(159)","https://www.zameen.com/Houses_Property/Karachi_Orangi_Town-682-1.html"
"Shah Faisal Town(142)","https://www.zameen.com/Houses_Property/Karachi_Shah_Faisal_Town-774-1.html"
"Clifton(130)","https://www.zameen.com/Houses_Property/Karachi_Clifton-5-1.html"